"year" "PC1_score" "spline_15" "klp_sd" "ulp_sd" "total_sd"
79 1.38117180206216 0.849472174572652 7 4 11
80 -0.574223388559876 0.67823779959318 7 4 11
81 0.702312232762306 0.516945534680139 7 4 11
82 0.448578075911341 0.350784129507276 7 4 11
83 0.0230959555599344 0.16282229101557 7 4 11
84 1.40118163785782 -0.0616300640442418 7 4 11
85 0.73697338512927 -0.332123509857102 7 4 11
86 -1.30622218193279 -0.623418729665023 7 4 11
87 -1.97846748257846 -0.884333126039456 7 4 11
88 -1.97050594688747 -1.07782583466026 7 4 11
89 -0.921084097144244 -1.19739453216055 8 4 12
90 -0.413584901350158 -1.25905357349031 8 4 12
91 -2.02135277042363 -1.27338878744068 8 4 12
92 -1.11415343353765 -1.23605428337092 8 4 12
93 -1.07234424591688 -1.15309137546314 8 4 12
94 -0.530872407985558 -1.03146293594377 8 4 12
95 -1.52291983529808 -0.873280782822696 8 4 12
96 -0.712743007820281 -0.673301906541488 8 4 12
97 -1.10109710707904 -0.437249872539652 8 4 12
98 -0.763544072552952 -0.178396917470169 8 4 12
99 0.504237365869234 0.0731558637088914 8 4 12
100 1.25230168805122 0.274104047722746 8 4 12
101 2.0967037285895 0.392007015183331 8 4 12
102 0.643746415594411 0.425458053604382 8 4 12
103 -1.05825757803735 0.414175093498586 8 4 12
104 -0.347624787691384 0.403547725027795 8 4 12
105 0.700665174159965 0.406012481479399 9 4 13
106 -0.0899983923434768 0.412546540992449 9 4 13
107 0.611062995487487 0.413741725491 9 4 13
108 0.0318092275037811 0.392400269265627 9 4 13
109 1.13639120187527 0.330945493530431 9 4 13
110 0.762033381558575 0.209545240768621 9 4 13
111 0.682968592129382 0.0258822117915145 9 4 13
112 0.125499299259457 -0.203518162848419 9 4 13
113 -1.10808036983875 -0.444122160546965 9 4 13
114 -1.21819639748385 -0.654678844933936 9 4 13
115 -1.05550838496579 -0.808766956923048 9 4 13
116 -1.1530189021701 -0.896202991587217 9 4 13
117 -1.02523232673924 -0.916076307782346 9 4 13
118 -1.14377186362663 -0.874572966751287 9 4 13
119 -0.242104385484276 -0.782818123030854 9 4 13
120 -1.11360107104887 -0.655247508038432 9 4 13
121 -0.830342592224223 -0.498932624478302 9 4 13
122 0.466869060056354 -0.329277937010433 9 4 13
123 0.256075978718038 -0.166756338130821 9 4 13
124 -1.01724847598126 -0.0150322151221511 9 4 13
125 -0.224922974164154 0.129850594713733 9 4 13
126 0.829335914406811 0.251628823627413 9 4 13
127 0.810589266396644 0.324580070675358 9 4 13
128 0.198171508865544 0.335511640586283 9 4 13
129 0.146185359081844 0.283464701416474 9 4 13
130 1.08942174012473 0.166451028340597 9 4 13
131 1.1919005960504 -0.016304104995652 9 4 13
132 -0.583346565565392 -0.241138479298147 9 4 13
133 -1.96226321552011 -0.456613952026785 9 4 13
134 -0.833339508371689 -0.619841689466081 9 4 13
135 -0.850258319904586 -0.721684717081897 9 4 13
136 -0.865251467667086 -0.765772552527103 9 4 13
137 -0.616465924978807 -0.759979263967919 9 4 13
138 -0.444045456629469 -0.714143886758944 9 4 13
139 -0.880375915323199 -0.634284699741677 9 4 13
140 -1.33376505246861 -0.521403018739276 9 4 13
141 -0.107932668585968 -0.384332962248199 9 4 13
142 0.392771480679005 -0.24842535965619 9 4 13
143 -0.522651991685181 -0.134236650088163 9 4 13
144 0.32053521037941 -0.0497386248897879 9 4 13
145 -0.224734757933562 -0.00568493935530096 9 4 13
146 0.697705449790816 -0.00834684001401897 9 4 13
147 0.635314339326948 -0.0629687655198469 9 4 13
148 -0.256371831238734 -0.157845901060222 9 4 13
149 -1.84069700906259 -0.263825382235038 9 5 14
150 0.158065167514591 -0.358284255112493 9 5 14
151 -0.538780746517394 -0.44881816133745 9 5 14
152 -0.836081263087594 -0.540977798975138 9 5 14
153 0.0837756527288183 -0.641025015397705 9 5 14
154 -0.618079510980663 -0.758020890058034 9 5 14
155 -1.15087154956863 -0.886947419692477 10 5 15
156 -0.993704238260686 -1.01754990593319 10 5 15
157 -0.93279800441339 -1.14414984629658 10 5 15
158 -1.25882534790093 -1.26084908742292 10 5 15
159 -0.868335053574186 -1.35727914200906 10 5 15
